movieId,old_tmdb_id,new_tmdb_id,movielens_title,matched_title,title_similarity,release_date,popularity
229513,760506,1046096,The Dark Redemption (1999),The Dark Redemption,1.0,1999-08-29,0.7757
229521,432052,1166659,Saving Star Wars (2004),Saving Star Wars,1.0,2004-06-09,0.4124
229523,751513,1424925,Star Wars: Revelations,Star Wars: Revelations,1.0,2005-04-16,0.0741
229611,745433,38993,Jonathan Coulton: Best.Concert.Ever,Jonathan Coulton - Best. Concert. Ever.,0.955,2009-05-16,0.2663
230799,308284,94978,Pravarakyudu (2009),Pravarakyudu,1.0,2009-12-04,0.1045
231101,642088,334584,Blackout (2012),Blackout,1.0,2012-10-24,2.5612
235179,732277,823800,Planet Earth: A Celebration (2020),Planet Earth: A Celebration,1.0,2020-08-31,0.583
236961,789344,446516,Mangrove,Mangrove,1.0,2011-08-10,0.2249
237658,785822,150333,Troubled Waters (2020),Troubled Waters,1.0,2020-10-01,0.6676
238564,793666,1437084,Absolute Proof (2021),Absolute Proof,1.0,2021-02-05,0.4566
239040,795446,801528,Framing Britney Spears (2021),Framing Britney Spears,1.0,2021-02-05,0.4145
239408,715893,1476428,We Are The Missing (2020),We Are The Missing,1.0,2020-06-15,0.1813
239452,692242,1472513,Detroit Evolution (2020),Detroit Evolution,1.0,2020-04-11,2.0379
241626,791052,718016,Cheeni (2020),Cheeni,1.0,2020-12-24,0.5506
245350,796115,1496513,Kingsman: The Secret Service Revealed (2015),Kingsman: The Secret Service Revealed,1.0,2015-06-08,8.3969
246072,813756,1182544,Cool Cat Fights Coronavirus (2021),Cool Cat Fights Coronavirus,1.0,2021-04-01,1.6151
246664,804485,1561052,Dying is Easy (2021),Batman: Dying is Easy,0.788,2021-03-10,0.1087
247850,405547,1444258,Cool Cat Stops Bullying (2012),Cool Cat Stops Bullying,1.0,2012-11-11,0.2467
247930,496075,1524129,Master Class: Ridley Scott (2017),Alien: Covenant - Master Class: Ridley Scott,0.758,2017-08-15,0.2144
248316,823575,1511567,Ouverture of Something that Never Ended,Ouverture of Something That Never Ended,1.0,2020-11-16,6.055
249536,810877,1495151,Save Ralph (2021),Save Ralph,1.0,2021-04-06,2.0362
249538,691529,974746,Summer of Mesa (2020),Summer of Mesa,1.0,2020-05-22,0.4548
249968,737618,941407,The Hidden Kingdoms of China (2020),The Hidden Kingdoms of China,1.0,2020-02-22,3.7828
251410,836665,479771,Leonardo: The Man Who Saved Science (2017),Leonardo: The Man Who Saved Science,1.0,2017-04-05,3.2853
252154,830073,1563429,Introspectum Motel (2021),Introspectum Motel,1.0,2021-05-15,0.5208
252310,842496,857351,Vice Versa: Chyna (2021),Vice Versa: Chyna,1.0,2021-06-17,0.2474
252726,470560,1212381,The Nanny Reunion: A Nosh to Remember (2004),The Nanny Reunion: A Nosh to Remember,1.0,2004-12-06,0.1753
253424,833915,1404388,Far More (2021),Far More,1.0,2021-09-21,0.3853
256323,112679,1595851,Italian Spiderman (2007),Italian Spiderman,1.0,2007-11-08,0.484
257865,381423,1579725,Pictured (2014),Pictured,1.0,2014-07-24,0.2786
260097,348696,1599609,Sinclair (2010),Sinclair,1.0,2010-09-09,0.1597
260167,686667,1327385,The Dark Side of the Rainbow (2000),The Dark Side of the Rainbow,1.0,2000-07-01,1.6343
262451,823837,1201683,Black Easter (2021),Black Easter,1.0,2021-05-14,1.1135
268840,602524,1531312,Unraveling the Mystery: A Big Bang Farewell (2019),Unraveling The Mystery: A Big Bang Farewell,1.0,2019-05-16,2.257
269502,274896,1612233,The Very Best of the Ed Sullivan Show (1991),The Very Best of The Ed Sullivan Show (Vol. 1),0.925,1991-02-17,0.0193
270164,744247,1189102,Baelin's Route: An Epic NPC Man Adventure (2021),Baelin's Route - An Epic NPC Man Adventure,0.987,2021-05-09,1.3626
270216,936456,1517334,Star Wars: Origins (2019),Star Wars: Origins,1.0,2019-12-12,0.1564
272661,957115,911348,Madelines (2022),Madelines,1.0,2022-04-01,0.7773
274625,949778,1305327,Hellstorm (2015),Hellstorm,1.0,2015-05-01,0.2352
276371,894717,1202428,Ignore It (2021),Ignore It,1.0,2021-01-01,0.6961
276405,381789,1401770,Snowbird (2016),Snowbird,1.0,,0.9142
278858,881931,1519807,Clint Eastwood: A Cinematic Legacy (2021),Clint Eastwood: A Cinematic Legacy: A Director's Vision,0.776,2021-09-09,0.0
280998,1008573,957864,Moment of Contact (2022),Moment of Contact,1.0,2022-10-18,0.7546
281820,963590,1437339,At the Suicide of the Last Jew in the World in the Last Cinema in the World (2007),At the Suicide of the Last Jew in the World in the Last Cinema in the World,1.0,2007-05-20,0.0606
281932,1020277,1447742,BackSpace,Backspace,1.0,,0.2993
282869,958637,950905,The Princess and the Bodyguard (2023),The Princess and the Bodyguard,1.0,2023-11-30,0.401
283477,628861,339403,Baby Driver 2,Baby Driver,0.917,2017-06-28,8.9458
284499,381419,1579741,Coffer (2014),Coffer,1.0,2014-10-20,0.2479
284501,381294,1579733,Attic Panic (2015),Attic Panic,1.0,2015-02-13,0.2258
284507,705354,1547250,Not Alone in Here (2020),Not Alone in Here,1.0,2020-05-17,0.148
285027,305967,1579753,Cam Closer (2013),Cam Closer,1.0,2013-04-24,2.0254
286529,1107516,1590552,Louis C.K. at The Dolby (2023),Louis C.K. at the Dolby,1.0,2023-04-04,0.9082
289887,1112977,1514927,"Honey, I Shrunk the Audience (1994)","Honey, I Shrunk the Audience!",1.0,1994-11-21,0.1459
290553,1172627,1471528,"The Peter Weyland Files: TED Conference, 2023 (2012)","The Peter Weyland Files: TED Conference, 2023",1.0,2012-02-08,0.1897
290559,1172634,1471541,"The Peter Weyland Files: Happy Birthday, David (2012)","The Peter Weyland Files: Happy Birthday, David",1.0,2012-03-17,0.5078
290561,1173102,1466457,"The Peter Weyland Files: Quiet Eye, Elizabeth Shaw (2012)","The Peter Weyland Files: Quiet Eye, Elizabeth Shaw",1.0,2012-10-09,0.2941
290563,945397,1336986,Predator vs. Colonial Marines (2016),Predator vs. Colonial Marines,1.0,2016-02-26,0.4945
290565,456504,1472042,Alien: Covenant - Prologue: Last Supper (2017),Alien: Covenant - Prologue: Last Supper,1.0,2017-02-22,0.6272
290569,457491,1439792,Alien: Covenant - Prologue: The Crossing (2017),Alien: Covenant - Prologue: The Crossing,1.0,2017-04-26,1.361
290577,704838,1610597,Predators: The Chosen (2010),Predators: The Chosen,1.0,2010-01-01,0.2142
